,Steam:Boiler1:FuelPh_in:mdot
2014-04-12,54956235.07964655
2014-04-13,53034489.31690533
2014-04-14,59171302.80061431
2014-04-15,65038209.985142894
2014-04-16,63250831.656697616
2014-04-17,64811812.97657868
2014-04-18,47938760.27553657
2014-04-19,61827954.705664426
2014-04-20,39935132.39095874
2014-04-21,51374530.28433398
2014-04-22,56452072.79220671
2014-04-23,51828575.55251491
2014-04-24,45482585.29829031
2014-04-25,57019948.69990784
2014-04-26,53312977.966047116
2014-04-27,35020974.00626404
2014-04-28,40938447.95521534
2014-04-29,52363598.97050405
2014-04-30,57282660.27162643
2014-05-01,62367516.41002819
2014-05-02,57714086.46152736
2014-05-03,57006503.927659035
2014-05-04,60659220.204072565
2014-05-05,81799653.45160902
2014-05-06,47246399.548435025
2014-05-07,51180613.53186541
2014-05-08,59858305.02426466
2014-05-09,55799808.92506376
2014-05-10,57012584.3642096
2014-05-11,56477937.9271776
2014-05-12,67062382.034897655
2014-05-13,44547049.01060519
2014-05-14,34516532.36390019
2014-05-15,46064896.38457007
2014-05-16,37507348.496936835
2014-05-17,33248004.661524795
2014-05-18,18237624.431253314
2014-05-19,29138370.933674112
2014-05-20,31819326.887602862
2014-05-21,24094390.071746077
2014-05-22,20830988.86193576
2014-05-23,12725366.456354761
2014-05-24,12688099.819136428
2014-05-25,16433632.299757384
2014-05-26,28601788.29288444
2014-05-27,40998266.23213199
2014-05-28,41680242.304503314
2014-05-29,48701863.31946879
2014-05-30,42484413.25859841
2014-05-31,30946117.759256415
2014-06-01,36119229.5581197
2014-06-02,34001374.314221196
2014-06-03,30162403.201684453
2014-06-04,34610442.390815236
2014-06-05,15688422.985792903
2014-06-06,15805129.739389341
2014-06-07,16478481.731672345
2014-06-08,3758129.8306632335
2014-06-09,22001292.792603377
2014-06-10,26531835.55519145
2014-06-11,11013819.300776739
2014-06-12,4166086.4840975073
2014-06-13,22293868.009970076
2014-06-14,22538165.566564694
2014-06-15,19935281.875503786
2014-06-16,26173182.498373922
2014-06-17,39624276.28470037
2014-06-18,20201715.097969104
2014-06-19,11239389.930623483
2014-06-20,25795062.246936407
2014-06-21,37023832.14494815
2014-06-22,24850166.555891972
2014-06-23,30261805.75062344
2014-06-24,30639739.551259715
2014-06-25,25521116.24060767
2014-06-26,35590491.53527055
2014-06-27,25145246.216018558
2014-06-28,16022047.454608494
2014-06-29,12322296.469784174
2014-06-30,16661471.450346911
2014-07-01,17041984.546749808
2014-07-02,15019002.896462424
2014-07-03,5915183.047977275
2014-07-04,18659816.838021554
2014-07-05,18864999.79105359
2014-07-06,14221813.93485602
2014-07-07,16774456.152028218
2014-07-08,24320810.20989783
2014-07-09,21037199.11182558
2014-07-10,7248691.9096340835
2014-07-11,31700258.03498633
2014-07-12,20670879.863295313
2014-07-13,19961492.98951854
2014-07-14,14389047.816552388
2014-07-15,25296339.206163812
2014-07-16,29834639.04082291
2014-07-17,24695921.384234782
2014-07-18,12298621.317368846
2014-07-19,34378692.8643711
2014-07-20,29374645.688544795
2014-07-21,11760497.812583255
2014-07-22,16814046.65669083
2014-07-23,18314306.534810696
2014-07-24,7795859.206932943
2014-07-25,23721769.46924887
2014-07-26,22518233.30255196
2014-07-27,20962948.39589928
2014-07-28,21157305.434308257
2014-07-29,20431150.84367184
2014-07-30,22287915.370871786
2014-07-31,22075350.313287526
2014-08-01,7993608.311078268
2014-08-02,24482364.273031417
2014-08-03,29570413.013708662
2014-08-04,14550412.457451696
2014-08-05,27998059.969042838
2014-08-06,28946455.096488375
2014-08-07,13620890.040511427
2014-08-08,19690867.90393809
2014-08-09,24025336.42922734
2014-08-10,18734358.630003963
2014-08-11,12665315.105597533
2014-08-12,18144270.056952607
2014-08-13,14401222.151804402
2014-08-14,16807636.075880766
2014-08-15,9636150.093121868
2014-08-16,21565010.51138851
2014-08-17,11666542.07170461
2014-08-18,17274154.584513504
2014-08-19,18737953.662157357
2014-08-20,12974968.624814423
2014-08-21,13473904.798044946
2014-08-22,13555579.237221336
2014-08-23,14431781.130462926
2014-08-24,23677182.8492299
2014-08-25,22442090.61661554
2014-08-26,17148476.70488455
2014-08-27,11858540.026669677
2014-08-28,17546161.443540853
2014-08-29,13526912.849099945
2014-08-30,57439292.12408077
2014-08-31,36008057.30833744
2014-09-01,30346846.708935086
2014-09-02,31579287.60451062
2014-09-03,60670413.06924438
2014-09-04,25933605.399116084
2014-09-05,32542213.485661283
2014-09-06,33638607.76263223
2014-09-07,26618275.780997463
2014-09-08,24962574.765598416
2014-09-09,23533376.585268926
2014-09-10,25734649.550119333
2014-09-11,30136341.53811644
2014-09-12,19332879.605368108
2014-09-13,11971368.212045524
2014-09-14,14064468.473622086
2014-09-15,22832948.660688803
2014-09-16,27496043.32893168
2014-09-17,23567685.799842294
2014-09-18,17269913.352523554
2014-09-19,19687437.81493611
2014-09-20,27401654.10115398
2014-09-21,18424162.307932172
2014-09-22,47323717.59225371
2014-09-23,76235670.60507865
2014-09-24,66418614.77226838
2014-09-25,41447687.636750765
2014-09-26,30160467.412493844
2014-09-27,21367943.022976346
2014-09-28,14115588.301351456
2014-09-29,15797335.295561785
2014-09-30,32937792.832011048
2014-10-01,31232111.632906135
2014-10-02,11860109.30386528
2014-10-03,14536660.275022103
2014-10-04,13826501.079953294
2014-10-05,29966401.215649255
2014-10-06,34319135.49637589
2014-10-07,38502191.915603876
2014-10-08,25543116.399025995
2014-10-09,30408792.656782895
2014-10-10,33562861.41706025
2014-10-11,23701672.796524696
2014-10-12,39507416.00373066
2014-10-13,32225718.444932424
2014-10-14,35511532.41669192
2014-10-15,35148754.37454706
2014-10-16,70724100.98677786
2014-10-17,41358420.130602434
2014-10-18,46725346.27567224
2014-10-19,26863247.774170052
2014-10-20,32925307.909895886
2014-10-21,65275677.428288035
2014-10-22,82775144.35009786
2014-10-23,90145778.5774977
2014-10-24,63151946.95311587
2014-10-25,32165240.80244243
2014-10-26,45277513.54535558
2014-10-27,36321102.48755044
2014-10-28,40780991.79964714
2014-10-29,39017097.03598639
2014-10-30,46059804.733775824
2014-10-31,58308290.46186693
2014-11-01,46955057.67956506
2014-11-02,27825030.355633084
2014-11-03,29328614.51243894
2014-11-04,29658237.886721496
2014-11-05,61663096.68511982
2014-11-06,70193899.1209933
2014-11-07,63506774.387402594
2014-11-08,53164777.950608455
2014-11-09,46278858.80457229
2014-11-10,41341536.176212125
2014-11-11,35749121.830796994
2014-11-12,41929416.27287753
2014-11-13,43857691.7824541
2014-11-14,42350274.96608544
2014-11-15,45014768.04220138
2014-11-16,51205334.16196564
2014-11-17,59658691.985790536
2014-11-18,49963567.946081474
2014-11-19,71212440.9108099
2014-11-20,57216371.979036324
2014-11-21,71167892.11003512
2014-11-22,60550646.350630574
2014-11-23,53636025.5549391
2014-11-24,56552206.84212787
2014-11-25,46248570.403893836
2014-11-26,57756683.61080503
2014-11-27,57653921.38491059
2014-11-28,70109884.89497872
2014-11-29,82474541.24711122
2014-11-30,87477078.77698298
2014-12-01,81283973.66818774
2014-12-02,81226576.92224467
