AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
HFO STOR TK T23P:6122:C:Average:900;testHFO STOR TK T23P:6122:C:Average:900
HFO STOR TK T23P:6122:C:Raw data:900;testHFO STOR TK T23P:6122:C:Raw data:900
HFO STOR TK T23S:6123:C:Average:900;testHFO STOR TK T23S:6123:C:Average:900
HFO STOR TK T23S:6123:C:Raw data:900;testHFO STOR TK T23S:6123:C:Raw data:900
HFO STORAGE TK T22S:6107:kg/l:Average:900;testHFO STORAGE TK T22S:6107:kg/l:Average:900
HFO STORAGE TK T22S:6107:kg/l:Raw data:900;testHFO STORAGE TK T22S:6107:kg/l:Raw data:900
HFO STORAGE TK T22S:6107:m3:Average:900;testHFO STORAGE TK T22S:6107:m3:Average:900
HFO STORAGE TK T22S:6107:m3:Raw data:900;testHFO STORAGE TK T22S:6107:m3:Raw data:900
HFO STORAGE TK T22S:6107:m:Average:900;testHFO STORAGE TK T22S:6107:m:Average:900
HFO STORAGE TK T22S:6107:m:Raw data:900;testHFO STORAGE TK T22S:6107:m:Raw data:900
HFO STORAGE TK T22S:6107:t:Average:900;testHFO STORAGE TK T22S:6107:t:Average:900
HFO STORAGE TK T22S:6107:t:Raw data:900;testHFO STORAGE TK T22S:6107:t:Raw data:900
HOT WATER HEATER TEM:6712:C:Average:900;testHOT WATER HEATER TEM:6712:C:Average:900
HOT WATER TEMPERATUR:6711:C:Average:900;testHOT WATER TEMPERATUR:6711:C:Average:900
HOUR COUNTER:64011:h:Average:900;testHOUR COUNTER:64011:h:Average:900
HOUR COUNTER:64031:h:Average:900;testHOUR COUNTER:64031:h:Average:900
HOUR COUNTER:71004:h:Average:900;testHOUR COUNTER:71004:h:Average:900
HOUR COUNTER:71014:h:Average:900;testHOUR COUNTER:71014:h:Average:900
ME ROOM AFT TEMP:7702:C:Average:900;testME ROOM AFT TEMP:7702:C:Average:900
ME ROOM FWD TEMP:7703:C:Average:900;testME ROOM FWD TEMP:7703:C:Average:900
ME ROOM INTAKE AIR T:7701:C:Average:900;testME ROOM INTAKE AIR T:7701:C:Average:900
ME/AE 1/3 HT WATER T:6428:C:Average:900;testME/AE 1/3 HT WATER T:6428:C:Average:900
ME/AE 1/3 HT WATER T:6430:C:Average:900;testME/AE 1/3 HT WATER T:6430:C:Average:900
ME/AE 1/3 HT WATER T:6430V:%:Average:900;testME/AE 1/3 HT WATER T:6430V:%:Average:900
ME/AE 1/3 P PRO LT T:6426:C:Average:900;testME/AE 1/3 P PRO LT T:6426:C:Average:900
ME/AE 1/3 P PRO LT T:6426V:%:Average:900;testME/AE 1/3 P PRO LT T:6426V:%:Average:900
ME/AE 1/3 P PROP LT:6424:C:Average:900;testME/AE 1/3 P PROP LT:6424:C:Average:900
ME/AE 1/3 SW COOL PU:6435:C:Average:900;testME/AE 1/3 SW COOL PU:6435:C:Average:900
ME/AE 2/4 HT WATER T:6429:C:Average:900;testME/AE 2/4 HT WATER T:6429:C:Average:900
ME/AE 2/4 HT WATER T:6431:C:Average:900;testME/AE 2/4 HT WATER T:6431:C:Average:900
ME/AE 2/4 HT WATER T:6431V:%:Average:900;testME/AE 2/4 HT WATER T:6431V:%:Average:900
ME/AE 2/4 S PRO LT T:6427:C:Average:900;testME/AE 2/4 S PRO LT T:6427:C:Average:900
ME/AE 2/4 S PRO LT T:6427V:%:Average:900;testME/AE 2/4 S PRO LT T:6427V:%:Average:900
ME/AE 2/4 S PROP LT:6425:C:Average:900;testME/AE 2/4 S PROP LT:6425:C:Average:900
ME/AE 2/4 SW COOL PU:6436:C:Average:900;testME/AE 2/4 SW COOL PU:6436:C:Average:900
ME1 CA PRESS COOL OU:1342:bar:Average:900;testME1 CA PRESS COOL OU:1342:bar:Average:900
ME1 CA TEMP COOL OUT:1343:C:Average:900;testME1 CA TEMP COOL OUT:1343:C:Average:900
ME1 CHARGE AIR TEMP:1347:C:Average:900;testME1 CHARGE AIR TEMP:1347:C:Average:900
ME1 CHARGE AIR TEMP:1347V:%:Average:900;testME1 CHARGE AIR TEMP:1347V:%:Average:900
ME1 CYL1 LINER 1 TEM:1001:C:Average:900;testME1 CYL1 LINER 1 TEM:1001:C:Average:900
ME1 CYL1 LINER 2 TEM:1002:C:Average:900;testME1 CYL1 LINER 2 TEM:1002:C:Average:900
ME1 CYL1 LINER 3 TEM:1003:C:Average:900;testME1 CYL1 LINER 3 TEM:1003:C:Average:900
ME1 CYL1 VC EXH TEMP:1101:C:Average:900;testME1 CYL1 VC EXH TEMP:1101:C:Average:900
ME1 CYL1 VD EXH TEMP:1102:C:Average:900;testME1 CYL1 VD EXH TEMP:1102:C:Average:900
ME1 CYL2 LINER 1 TEM:1004:C:Average:900;testME1 CYL2 LINER 1 TEM:1004:C:Average:900
ME1 CYL2 LINER 2 TEM:1005:C:Average:900;testME1 CYL2 LINER 2 TEM:1005:C:Average:900
ME1 CYL2 LINER 3 TEM:1006:C:Average:900;testME1 CYL2 LINER 3 TEM:1006:C:Average:900
ME1 CYL2 VC EXH TEMP:1103:C:Average:900;testME1 CYL2 VC EXH TEMP:1103:C:Average:900
ME1 CYL2 VD EXH TEMP:1104:C:Average:900;testME1 CYL2 VD EXH TEMP:1104:C:Average:900
ME1 CYL3 LINER 1 TEM:1007:C:Average:900;testME1 CYL3 LINER 1 TEM:1007:C:Average:900
ME1 CYL3 LINER 2 TEM:1008:C:Average:900;testME1 CYL3 LINER 2 TEM:1008:C:Average:900
ME1 CYL3 LINER 3 TEM:1009:C:Average:900;testME1 CYL3 LINER 3 TEM:1009:C:Average:900
ME1 CYL3 VC EXH TEMP:1105:C:Average:900;testME1 CYL3 VC EXH TEMP:1105:C:Average:900
ME1 CYL3 VD EXH TEMP:1106:C:Average:900;testME1 CYL3 VD EXH TEMP:1106:C:Average:900
ME1 CYL4 LINER 1 TEM:1010:C:Average:900;testME1 CYL4 LINER 1 TEM:1010:C:Average:900
ME1 CYL4 LINER 2 TEM:1011:C:Average:900;testME1 CYL4 LINER 2 TEM:1011:C:Average:900
ME1 CYL4 LINER 3 TEM:1012:C:Average:900;testME1 CYL4 LINER 3 TEM:1012:C:Average:900
ME1 CYL4 VC EXH TEMP:1107:C:Average:900;testME1 CYL4 VC EXH TEMP:1107:C:Average:900
ME1 CYL4 VD EXH TEMP:1108:C:Average:900;testME1 CYL4 VD EXH TEMP:1108:C:Average:900
ME1 CYL5 LINER 1 TEM:1013:C:Average:900;testME1 CYL5 LINER 1 TEM:1013:C:Average:900
ME1 CYL5 LINER 2 TEM:1014:C:Average:900;testME1 CYL5 LINER 2 TEM:1014:C:Average:900
ME1 CYL5 LINER 3 TEM:1015:C:Average:900;testME1 CYL5 LINER 3 TEM:1015:C:Average:900
ME1 CYL5 VC EXH TEMP:1109:C:Average:900;testME1 CYL5 VC EXH TEMP:1109:C:Average:900
ME1 CYL5 VD EXH TEMP:1110:C:Average:900;testME1 CYL5 VD EXH TEMP:1110:C:Average:900
ME1 CYL6 LINER 1 TEM:1016:C:Average:900;testME1 CYL6 LINER 1 TEM:1016:C:Average:900
ME1 CYL6 LINER 2 TEM:1017:C:Average:900;testME1 CYL6 LINER 2 TEM:1017:C:Average:900
ME1 CYL6 LINER 3 TEM:1018:C:Average:900;testME1 CYL6 LINER 3 TEM:1018:C:Average:900
ME1 CYL6 VC EXH TEMP:1111:C:Average:900;testME1 CYL6 VC EXH TEMP:1111:C:Average:900
ME1 CYL6 VD EXH TEMP:1112:C:Average:900;testME1 CYL6 VD EXH TEMP:1112:C:Average:900
ME1 ENGINE SPEED:1364:rpm:Average:3600;testME1 ENGINE SPEED:1364:rpm:Average:3600
ME1 ENGINE SPEED:1364:rpm:Average:900;testME1 ENGINE SPEED:1364:rpm:Average:900
ME1 ENGINE SPEED:1364:rpm:Raw data:900;testME1 ENGINE SPEED:1364:rpm:Raw data:900
ME1 EXH GAS MEAN:1125:C:Average:3600;testME1 EXH GAS MEAN:1125:C:Average:3600
ME1 EXH GAS MEAN:1125:C:Average:900;testME1 EXH GAS MEAN:1125:C:Average:900
ME1 EXH GAS MEAN:1125:C:Raw data:900;testME1 EXH GAS MEAN:1125:C:Raw data:900
ME1 FO FILTER:1303:-:Average:900;testME1 FO FILTER:1303:-:Average:900
ME1 FO HP PIPE:1311:-:Average:900;testME1 FO HP PIPE:1311:-:Average:900
ME1 FO INLET PRESS:1301:bar:Average:900;testME1 FO INLET PRESS:1301:bar:Average:900
ME1 FO INLET TEMP:1302:C:Average:900;testME1 FO INLET TEMP:1302:C:Average:900
ME1 FUEL RACK POSIT:10005:%:Average:3600;testME1 FUEL RACK POSIT:10005:%:Average:3600
ME1 FUEL RACK POSIT:10005:%:Average:900;testME1 FUEL RACK POSIT:10005:%:Average:900
ME1 FUEL RACK POSIT:10005:%:Raw data:900;testME1 FUEL RACK POSIT:10005:%:Raw data:900
ME1 HT INLET PRESS:1201:bar:Average:900;testME1 HT INLET PRESS:1201:bar:Average:900
ME1 HT INLET PRESS:1211:-:Average:900;testME1 HT INLET PRESS:1211:-:Average:900
ME1 HT OUTLET TEMP:1203:C:Average:900;testME1 HT OUTLET TEMP:1203:C:Average:900
ME1 HT OUTLET TEMP:1212:-:Average:900;testME1 HT OUTLET TEMP:1212:-:Average:900
ME1 HT TEMP HIGH OUT:1213:-:Average:900;testME1 HT TEMP HIGH OUT:1213:-:Average:900
ME1 HT WATR INL TEMP:1202:C:Average:900;testME1 HT WATR INL TEMP:1202:C:Average:900
ME1 LO AUTO FILTER:1324:-:Average:900;testME1 LO AUTO FILTER:1324:-:Average:900
ME1 LO FILTER:1325:-:Average:900;testME1 LO FILTER:1325:-:Average:900
ME1 LO INLET PRESS:1321:bar:Average:900;testME1 LO INLET PRESS:1321:bar:Average:900
ME1 LO INLET PRESS:1326:-:Average:900;testME1 LO INLET PRESS:1326:-:Average:900
ME1 LO INLET TEMP:1322:C:Average:900;testME1 LO INLET TEMP:1322:C:Average:900
ME1 LO INLET TEMP:1327:-:Average:900;testME1 LO INLET TEMP:1327:-:Average:900
ME1 LO PRESS GEAR:1328:-:Average:900;testME1 LO PRESS GEAR:1328:-:Average:900
ME1 LO PRESS TC INLE:1323:bar:Average:900;testME1 LO PRESS TC INLE:1323:bar:Average:900
ME1 LO TEMP TC OUTLE:1329:C:Average:900;testME1 LO TEMP TC OUTLE:1329:C:Average:900
ME1 LT INLET PRESS:1251:bar:Average:900;testME1 LT INLET PRESS:1251:bar:Average:900
ME1 LT INLET TEMP:1252:C:Average:900;testME1 LT INLET TEMP:1252:C:Average:900
ME1 RUNNING:10004:-:Average:3600;testME1 RUNNING:10004:-:Average:3600
ME1 RUNNING:10004:-:Raw data:900;testME1 RUNNING:10004:-:Raw data:900
ME1 SCR CF54 RED AG:1441:l/h:Average:900;testME1 SCR CF54 RED AG:1441:l/h:Average:900
ME1 SCR CP153 COMP A:1418:-:Average:900;testME1 SCR CP153 COMP A:1418:-:Average:900
ME1 SCR CP154 COMP A:1417:-:Average:900;testME1 SCR CP154 COMP A:1417:-:Average:900
ME1 SCR CP53 RED AG:1442:bar:Average:900;testME1 SCR CP53 RED AG:1442:bar:Average:900
ME1 SCR CP58 DIFF PR:1438:mbar:Average:900;testME1 SCR CP58 DIFF PR:1438:mbar:Average:900
ME1 SCR CT55 TEMP IN:1439:C:Average:900;testME1 SCR CT55 TEMP IN:1439:C:Average:900
ME1 SCR CT56 TEMP OT:1440:C:Average:900;testME1 SCR CT56 TEMP OT:1440:C:Average:900
ME1 SCR FUSE FAULT:1412:-:Average:900;testME1 SCR FUSE FAULT:1412:-:Average:900
ME1 SCR GAS SAMPLE L:1422:-:Average:900;testME1 SCR GAS SAMPLE L:1422:-:Average:900
ME1 SCR GAS SAMPLE P:1421:-:Average:900;testME1 SCR GAS SAMPLE P:1421:-:Average:900
ME1 SCR LOAD SIGNAL:1423:-:Average:900;testME1 SCR LOAD SIGNAL:1423:-:Average:900
ME1 SCR NOX LEVEL:1444:ppm:Average:900;testME1 SCR NOX LEVEL:1444:ppm:Average:900
ME1 SCR NOX LEVEL:1444CALC:g/kWh:Average:900;testME1 SCR NOX LEVEL:1444CALC:g/kWh:Average:900
ME1 SPEED MEASURING:1372:-:Average:900;testME1 SPEED MEASURING:1372:-:Average:900
ME1 T/C SPEED:10006:rpm:Average:3600;testME1 T/C SPEED:10006:rpm:Average:3600
ME1 T/C SPEED:10006:rpm:Average:900;testME1 T/C SPEED:10006:rpm:Average:900
ME1 T/C SPEED:10006:rpm:Raw data:900;testME1 T/C SPEED:10006:rpm:Raw data:900
ME1 TC BY-PASS VALVE:1368:-:Average:3600;testME1 TC BY-PASS VALVE:1368:-:Average:3600
ME1 TC BY-PASS VALVE:1368:-:Average:900;testME1 TC BY-PASS VALVE:1368:-:Average:900
ME1 TC BY-PASS VALVE:1368:-:Raw data:900;testME1 TC BY-PASS VALVE:1368:-:Raw data:900
ME1 TC INL EXH TEMP:1161:C:Average:3600;testME1 TC INL EXH TEMP:1161:C:Average:3600
ME1 TC INL EXH TEMP:1161:C:Average:900;testME1 TC INL EXH TEMP:1161:C:Average:900
ME1 TC INL EXH TEMP:1161:C:Raw data:900;testME1 TC INL EXH TEMP:1161:C:Raw data:900
ME1 TC OTL EXH TEMP:1162:C:Average:3600;testME1 TC OTL EXH TEMP:1162:C:Average:3600
ME1 TC OTL EXH TEMP:1162:C:Average:900;testME1 TC OTL EXH TEMP:1162:C:Average:900
ME1 TC OTL EXH TEMP:1162:C:Raw data:900;testME1 TC OTL EXH TEMP:1162:C:Raw data:900
ME1/3 BOOST FO VLV:61111:-:Average:900;testME1/3 BOOST FO VLV:61111:-:Average:900
ME1/3 BOOST FO VLV:61111:-:Raw data:900;testME1/3 BOOST FO VLV:61111:-:Raw data:900
ME1/3 HT PREH PUMP:64124:nan:Average:900;testME1/3 HT PREH PUMP:64124:nan:Average:900
ME1/3|AE1/3 BOOST PR:6152:bar:Raw data:900;testME1/3|AE1/3 BOOST PR:6152:bar:Raw data:900
ME1/3|AE1/3 BOOST UN:6139:-:Average:900;testME1/3|AE1/3 BOOST UN:6139:-:Average:900
ME1/3|AE1/3 BOOST UN:6139:-:Raw data:900;testME1/3|AE1/3 BOOST UN:6139:-:Raw data:900
ME1/3|AE1/3 FEED PR.:6150:bar:Raw data:900;testME1/3|AE1/3 FEED PR.:6150:bar:Raw data:900
ME1/3|AE1/3 SW TEMP:6412:C:Average:900;testME1/3|AE1/3 SW TEMP:6412:C:Average:900
ME1/3|AE1/3 SW TEMP:6412V:%:Average:900;testME1/3|AE1/3 SW TEMP:6412V:%:Average:900
ME2 CA PRESS COOL OU:2342:bar:Average:900;testME2 CA PRESS COOL OU:2342:bar:Average:900
ME2 CA TEMP COOL OUT:2343:C:Average:900;testME2 CA TEMP COOL OUT:2343:C:Average:900
ME2 CHARGE AIR TEMP:2347:C:Average:900;testME2 CHARGE AIR TEMP:2347:C:Average:900
ME2 CTRL AIR PRESS:2346:bar:Average:900;testME2 CTRL AIR PRESS:2346:bar:Average:900
ME2 CYL1 LINER 1 TEM:2001:C:Average:900;testME2 CYL1 LINER 1 TEM:2001:C:Average:900
ME2 CYL1 LINER 2 TEM:2002:C:Average:900;testME2 CYL1 LINER 2 TEM:2002:C:Average:900
ME2 CYL1 LINER 3 TEM:2003:C:Average:900;testME2 CYL1 LINER 3 TEM:2003:C:Average:900
ME2 CYL1 VC EXH TEMP:2101:C:Average:900;testME2 CYL1 VC EXH TEMP:2101:C:Average:900
ME2 CYL1 VD EXH TEMP:2102:C:Average:900;testME2 CYL1 VD EXH TEMP:2102:C:Average:900
ME2 CYL2 LINER 1 TEM:2004:C:Average:900;testME2 CYL2 LINER 1 TEM:2004:C:Average:900
ME2 CYL2 LINER 2 TEM:2005:C:Average:900;testME2 CYL2 LINER 2 TEM:2005:C:Average:900
ME2 CYL2 LINER 3 TEM:2006:C:Average:900;testME2 CYL2 LINER 3 TEM:2006:C:Average:900
ME2 CYL2 VC EXH TEMP:2103:C:Average:900;testME2 CYL2 VC EXH TEMP:2103:C:Average:900
ME2 CYL2 VD EXH TEMP:2104:C:Average:900;testME2 CYL2 VD EXH TEMP:2104:C:Average:900
ME2 CYL3 LINER 1 TEM:2007:C:Average:900;testME2 CYL3 LINER 1 TEM:2007:C:Average:900
ME2 CYL3 LINER 2 TEM:2008:C:Average:900;testME2 CYL3 LINER 2 TEM:2008:C:Average:900
ME2 CYL3 LINER 3 TEM:2009:C:Average:900;testME2 CYL3 LINER 3 TEM:2009:C:Average:900
ME2 CYL3 VC EXH TEMP:2105:C:Average:900;testME2 CYL3 VC EXH TEMP:2105:C:Average:900
ME2 CYL3 VD EXH TEMP:2106:C:Average:900;testME2 CYL3 VD EXH TEMP:2106:C:Average:900
ME2 CYL4 LINER 1 TEM:2010:C:Average:900;testME2 CYL4 LINER 1 TEM:2010:C:Average:900
ME2 CYL4 LINER 2 TEM:2011:C:Average:900;testME2 CYL4 LINER 2 TEM:2011:C:Average:900
ME2 CYL4 LINER 3 TEM:2012:C:Average:900;testME2 CYL4 LINER 3 TEM:2012:C:Average:900
ME2 CYL4 VC EXH TEMP:2107:C:Average:900;testME2 CYL4 VC EXH TEMP:2107:C:Average:900
ME2 CYL4 VD EXH TEMP:2108:C:Average:900;testME2 CYL4 VD EXH TEMP:2108:C:Average:900
ME2 CYL5 LINER 1 TEM:2013:C:Average:900;testME2 CYL5 LINER 1 TEM:2013:C:Average:900
ME2 CYL5 LINER 2 TEM:2014:C:Average:900;testME2 CYL5 LINER 2 TEM:2014:C:Average:900
ME2 CYL5 LINER 3 TEM:2015:C:Average:900;testME2 CYL5 LINER 3 TEM:2015:C:Average:900
ME2 CYL5 VC EXH TEMP:2109:C:Average:900;testME2 CYL5 VC EXH TEMP:2109:C:Average:900
ME2 CYL5 VD EXH TEMP:2110:C:Average:900;testME2 CYL5 VD EXH TEMP:2110:C:Average:900
ME2 CYL6 LINER 1 TEM:2016:C:Average:900;testME2 CYL6 LINER 1 TEM:2016:C:Average:900
ME2 CYL6 LINER 2 TEM:2017:C:Average:900;testME2 CYL6 LINER 2 TEM:2017:C:Average:900
ME2 CYL6 LINER 3 TEM:2018:C:Average:900;testME2 CYL6 LINER 3 TEM:2018:C:Average:900
ME2 CYL6 VC EXH TEMP:2111:C:Average:900;testME2 CYL6 VC EXH TEMP:2111:C:Average:900
ME2 CYL6 VD EXH TEMP:2112:C:Average:900;testME2 CYL6 VD EXH TEMP:2112:C:Average:900
ME2 ENGINE SPEED:2364:rpm:Average:3600;testME2 ENGINE SPEED:2364:rpm:Average:3600
ME2 ENGINE SPEED:2364:rpm:Average:900;testME2 ENGINE SPEED:2364:rpm:Average:900
ME2 ENGINE SPEED:2364:rpm:Raw data:900;testME2 ENGINE SPEED:2364:rpm:Raw data:900
ME2 EXH GAS MEAN:2125:C:Average:3600;testME2 EXH GAS MEAN:2125:C:Average:3600
ME2 EXH GAS MEAN:2125:C:Average:900;testME2 EXH GAS MEAN:2125:C:Average:900
ME2 EXH GAS MEAN:2125:C:Raw data:900;testME2 EXH GAS MEAN:2125:C:Raw data:900
ME2 FO FILTER:2303:-:Average:900;testME2 FO FILTER:2303:-:Average:900
ME2 FO HP PIPE:2311:-:Average:900;testME2 FO HP PIPE:2311:-:Average:900
ME2 FO INLET PRESS:2301:bar:Average:900;testME2 FO INLET PRESS:2301:bar:Average:900
ME2 FO INLET TEMP:2302:C:Average:900;testME2 FO INLET TEMP:2302:C:Average:900
ME2 FUEL RACK POSIT:20005:%:Average:3600;testME2 FUEL RACK POSIT:20005:%:Average:3600
ME2 FUEL RACK POSIT:20005:%:Average:900;testME2 FUEL RACK POSIT:20005:%:Average:900
ME2 FUEL RACK POSIT:20005:%:Raw data:900;testME2 FUEL RACK POSIT:20005:%:Raw data:900
ME2 HT INLET PRESS:2201:bar:Average:900;testME2 HT INLET PRESS:2201:bar:Average:900
ME2 HT INLET PRESS:2211:-:Average:900;testME2 HT INLET PRESS:2211:-:Average:900
ME2 HT OUTLET TEMP:2203:C:Average:900;testME2 HT OUTLET TEMP:2203:C:Average:900
ME2 HT OUTLET TEMP:2212:-:Average:900;testME2 HT OUTLET TEMP:2212:-:Average:900
ME2 HT OUTLET TEMP:2212SHD:-:Average:900;testME2 HT OUTLET TEMP:2212SHD:-:Average:900
ME2 HT TEMP HIGH OUT:2213:-:Average:900;testME2 HT TEMP HIGH OUT:2213:-:Average:900
ME2 HT WATR INL TEMP:2202:C:Average:900;testME2 HT WATR INL TEMP:2202:C:Average:900
ME2 LO AUTO FILTER:2324:-:Average:900;testME2 LO AUTO FILTER:2324:-:Average:900
ME2 LO FILTER:2325:-:Average:900;testME2 LO FILTER:2325:-:Average:900
ME2 LO INLET PRESS:2321:bar:Average:900;testME2 LO INLET PRESS:2321:bar:Average:900
ME2 LO INLET PRESS:2326:-:Average:900;testME2 LO INLET PRESS:2326:-:Average:900
ME2 LO INLET TEMP:2322:C:Average:900;testME2 LO INLET TEMP:2322:C:Average:900
ME2 LO INLET TEMP:2327:-:Average:900;testME2 LO INLET TEMP:2327:-:Average:900
ME2 LO PRESS GEAR:2328:-:Average:900;testME2 LO PRESS GEAR:2328:-:Average:900
ME2 LO PRESS TC INLE:2323:bar:Average:900;testME2 LO PRESS TC INLE:2323:bar:Average:900
ME2 LO TEMP TC OUTLE:2329:C:Average:900;testME2 LO TEMP TC OUTLE:2329:C:Average:900
ME2 LT INLET PRESS:2251:bar:Average:900;testME2 LT INLET PRESS:2251:bar:Average:900
ME2 LT INLET TEMP:2252:C:Average:900;testME2 LT INLET TEMP:2252:C:Average:900
ME2 RUNNING:20004:-:Average:3600;testME2 RUNNING:20004:-:Average:3600
ME2 RUNNING:20004:-:Raw data:900;testME2 RUNNING:20004:-:Raw data:900
ME2 SCR CF54 RED AG:2441:l/h:Average:900;testME2 SCR CF54 RED AG:2441:l/h:Average:900
ME2 SCR CP153 COMP A:2418:-:Average:900;testME2 SCR CP153 COMP A:2418:-:Average:900
ME2 SCR CP154 COMP A:2417:-:Average:900;testME2 SCR CP154 COMP A:2417:-:Average:900
ME2 SCR CP53 RED AG:2442:bar:Average:900;testME2 SCR CP53 RED AG:2442:bar:Average:900
ME2 SCR CP58 DIFF PR:2438:mbar:Average:900;testME2 SCR CP58 DIFF PR:2438:mbar:Average:900
ME2 SCR CT55 TEMP IN:2439:C:Average:900;testME2 SCR CT55 TEMP IN:2439:C:Average:900
ME2 SCR CT56 TEMP OT:2440:C:Average:900;testME2 SCR CT56 TEMP OT:2440:C:Average:900
ME2 SCR FUSE FAULT:2412:-:Average:900;testME2 SCR FUSE FAULT:2412:-:Average:900
ME2 SCR GAS SAMPLE L:2422:-:Average:900;testME2 SCR GAS SAMPLE L:2422:-:Average:900
ME2 SCR GAS SAMPLE P:2421:-:Average:900;testME2 SCR GAS SAMPLE P:2421:-:Average:900
ME2 SCR LOAD SIGNAL:2423:-:Average:900;testME2 SCR LOAD SIGNAL:2423:-:Average:900
ME2 SCR NOX LEVEL:2444:ppm:Average:900;testME2 SCR NOX LEVEL:2444:ppm:Average:900
ME2 SCR NOX LEVEL:2444CALC:g/kWh:Average:900;testME2 SCR NOX LEVEL:2444CALC:g/kWh:Average:900
ME2 SPEED MEASURING:2372:-:Average:900;testME2 SPEED MEASURING:2372:-:Average:900
ME2 START AIR PRESS:2345:bar:Average:900;testME2 START AIR PRESS:2345:bar:Average:900
ME2 T/C SPEED:20006:rpm:Average:3600;testME2 T/C SPEED:20006:rpm:Average:3600
ME2 T/C SPEED:20006:rpm:Average:900;testME2 T/C SPEED:20006:rpm:Average:900
ME2 T/C SPEED:20006:rpm:Raw data:900;testME2 T/C SPEED:20006:rpm:Raw data:900
ME2 TC BY-PASS VALVE:2368:-:Average:3600;testME2 TC BY-PASS VALVE:2368:-:Average:3600
ME2 TC BY-PASS VALVE:2368:-:Raw data:900;testME2 TC BY-PASS VALVE:2368:-:Raw data:900
ME2 TC INL EXH TEMP:2161:C:Average:3600;testME2 TC INL EXH TEMP:2161:C:Average:3600
ME2 TC INL EXH TEMP:2161:C:Average:900;testME2 TC INL EXH TEMP:2161:C:Average:900
ME2 TC INL EXH TEMP:2161:C:Raw data:900;testME2 TC INL EXH TEMP:2161:C:Raw data:900
ME2 TC OTL EXH TEMP:2162:C:Average:3600;testME2 TC OTL EXH TEMP:2162:C:Average:3600
ME2 TC OTL EXH TEMP:2162:C:Average:900;testME2 TC OTL EXH TEMP:2162:C:Average:900
ME2 TC OTL EXH TEMP:2162:C:Raw data:900;testME2 TC OTL EXH TEMP:2162:C:Raw data:900
ME2/4 BOOST FO VLV:61121:-:Average:900;testME2/4 BOOST FO VLV:61121:-:Average:900
ME2/4 BOOST FO VLV:61121:-:Raw data:900;testME2/4 BOOST FO VLV:61121:-:Raw data:900
ME2/4 HT PREH PUMP:64134:nan:Average:900;testME2/4 HT PREH PUMP:64134:nan:Average:900
ME2/4|AE2/4 BOOST PR:6153:bar:Raw data:900;testME2/4|AE2/4 BOOST PR:6153:bar:Raw data:900
ME2/4|AE2/4 BOOST UN:6140:-:Average:900;testME2/4|AE2/4 BOOST UN:6140:-:Average:900
ME2/4|AE2/4 BOOST UN:6140:-:Raw data:900;testME2/4|AE2/4 BOOST UN:6140:-:Raw data:900
ME2/4|AE2/4 FEED PR.:6151:bar:Raw data:900;testME2/4|AE2/4 FEED PR.:6151:bar:Raw data:900
ME2/4|AE2/4 SW TEMP:6413:C:Average:900;testME2/4|AE2/4 SW TEMP:6413:C:Average:900
ME2/4|AE2/4 SW TEMP:6413V:%:Average:900;testME2/4|AE2/4 SW TEMP:6413V:%:Average:900
ME3 CA PRESS COOL OU:3342:bar:Average:900;testME3 CA PRESS COOL OU:3342:bar:Average:900
ME3 CA TEMP COOL OUT:3343:C:Average:900;testME3 CA TEMP COOL OUT:3343:C:Average:900
ME3 CHARGE AIR TEMP:3347:C:Average:900;testME3 CHARGE AIR TEMP:3347:C:Average:900
ME3 CHARGE AIR TEMP:3347V:%:Average:900;testME3 CHARGE AIR TEMP:3347V:%:Average:900
ME3 CYL1 LINER 1 TEM:3001:C:Average:900;testME3 CYL1 LINER 1 TEM:3001:C:Average:900
ME3 CYL1 LINER 2 TEM:3002:C:Average:900;testME3 CYL1 LINER 2 TEM:3002:C:Average:900
ME3 CYL1 LINER 3 TEM:3003:C:Average:900;testME3 CYL1 LINER 3 TEM:3003:C:Average:900
ME3 CYL1 VC EXH TEMP:3101:C:Average:900;testME3 CYL1 VC EXH TEMP:3101:C:Average:900
ME3 CYL1 VD EXH TEMP:3102:C:Average:900;testME3 CYL1 VD EXH TEMP:3102:C:Average:900
ME3 CYL2 LINER 1 TEM:3004:C:Average:900;testME3 CYL2 LINER 1 TEM:3004:C:Average:900
ME3 CYL2 LINER 2 TEM:3005:C:Average:900;testME3 CYL2 LINER 2 TEM:3005:C:Average:900
ME3 CYL2 LINER 3 TEM:3006:C:Average:900;testME3 CYL2 LINER 3 TEM:3006:C:Average:900
ME3 CYL2 VC EXH TEMP:3103:C:Average:900;testME3 CYL2 VC EXH TEMP:3103:C:Average:900
ME3 CYL2 VD EXH TEMP:3104:C:Average:900;testME3 CYL2 VD EXH TEMP:3104:C:Average:900
ME3 CYL3 LINER 1 TEM:3007:C:Average:900;testME3 CYL3 LINER 1 TEM:3007:C:Average:900
ME3 CYL3 LINER 2 TEM:3008:C:Average:900;testME3 CYL3 LINER 2 TEM:3008:C:Average:900
ME3 CYL3 LINER 3 TEM:3009:C:Average:900;testME3 CYL3 LINER 3 TEM:3009:C:Average:900
ME3 CYL3 VC EXH TEMP:3105:C:Average:900;testME3 CYL3 VC EXH TEMP:3105:C:Average:900
