AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE1 VOLTAGE:5511:V:Average:900;testAE1 VOLTAGE:5511:V:Average:900
AE2 CA OTL CAC PRESS:2649:Bar:Average:900;testAE2 CA OTL CAC PRESS:2649:Bar:Average:900
AE2 CA OTL CAC TEMP:2654:  C:Average:900;testAE2 CA OTL CAC TEMP:2654:  C:Average:900
AE2 CAC PRESS DIFF:2652:mBar:Average:900;testAE2 CAC PRESS DIFF:2652:mBar:Average:900
AE2 CYL EXHAUST T:2501_S:C:Average:900;testAE2 CYL EXHAUST T:2501_S:C:Average:900
AE2 CYL1 LINER 1 TEM:2701:  C:Average:900;testAE2 CYL1 LINER 1 TEM:2701:  C:Average:900
AE2 CYL1 LINER 1 TEM:2703:-:Average:900;testAE2 CYL1 LINER 1 TEM:2703:-:Average:900
AE2 CYL1 LINER 2 TEM:2704:  C:Average:900;testAE2 CYL1 LINER 2 TEM:2704:  C:Average:900
AE2 CYL1 LINER 2 TEM:2706:-:Average:900;testAE2 CYL1 LINER 2 TEM:2706:-:Average:900
AE2 CYL1 VC EXH TEMP:2501:  C:Average:900;testAE2 CYL1 VC EXH TEMP:2501:  C:Average:900
AE2 CYL1 VD EXH TEMP:2502:  C:Average:900;testAE2 CYL1 VD EXH TEMP:2502:  C:Average:900
AE2 CYL2 LINER 1 TEM:2707:  C:Average:900;testAE2 CYL2 LINER 1 TEM:2707:  C:Average:900
AE2 CYL2 LINER 1 TEM:2709:-:Average:900;testAE2 CYL2 LINER 1 TEM:2709:-:Average:900
AE2 CYL2 LINER 2 TEM:2711:  C:Average:900;testAE2 CYL2 LINER 2 TEM:2711:  C:Average:900
AE2 CYL2 LINER 2 TEM:2713:-:Average:900;testAE2 CYL2 LINER 2 TEM:2713:-:Average:900
AE2 CYL2 VC EXH TEMP:2503:  C:Average:900;testAE2 CYL2 VC EXH TEMP:2503:  C:Average:900
AE2 CYL2 VD EXH TEMP:2504:  C:Average:900;testAE2 CYL2 VD EXH TEMP:2504:  C:Average:900
AE2 CYL3 LINER 1 TEM:2714:  C:Average:900;testAE2 CYL3 LINER 1 TEM:2714:  C:Average:900
AE2 CYL3 LINER 1 TEM:2716:-:Average:900;testAE2 CYL3 LINER 1 TEM:2716:-:Average:900
AE2 CYL3 LINER 2 TEM:2717:  C:Average:900;testAE2 CYL3 LINER 2 TEM:2717:  C:Average:900
AE2 CYL3 LINER 2 TEM:2719:-:Average:900;testAE2 CYL3 LINER 2 TEM:2719:-:Average:900
AE2 CYL3 VC EXH TEMP:2505:  C:Average:900;testAE2 CYL3 VC EXH TEMP:2505:  C:Average:900
AE2 CYL3 VD EXH TEMP:2506:  C:Average:900;testAE2 CYL3 VD EXH TEMP:2506:  C:Average:900
AE2 CYL4 LINER 1 TEM:2721:  C:Average:900;testAE2 CYL4 LINER 1 TEM:2721:  C:Average:900
AE2 CYL4 LINER 1 TEM:2723:-:Average:900;testAE2 CYL4 LINER 1 TEM:2723:-:Average:900
AE2 CYL4 LINER 2 TEM:2724:  C:Average:900;testAE2 CYL4 LINER 2 TEM:2724:  C:Average:900
