Variable name,EnergyEfficiency,ExergyEfficiency,EfficiencyDefect,IrreversibilityShare
BPvalve,,,0.0,0.0
CAC_HT,,0.9577917975274045,0.00018673030968812223,0.0001778475082019108
CAC_LT,,0.7424367157143426,0.0056499577688459745,0.0018720241671323816
LOC,,0.7082167433971408,0.034984819767853025,0.01835842843509599
JWC,,0.6684630927899601,0.01982541525681603,0.021000706401438154
Cyl,0.37928169666585204,0.3784139700406599,0.1801754187577351,0.8176813240713648
HTsplit,,,-0.00042072736315667853,0.004785676880600963
HTmerge,,,0.004028113027965488,0.0037156145568225255
TCshaft,0.6002729659207107,0.6002729659207107,0.09549457240942544,-0.004131978157003499
HRSG,,0.6553845481109203,0.07956600406636925,0.04986676641556382
AG,0.9387398911861625,0.9387398911861625,0.02478030527595958,0.036930596930326624

AE2
Comp,1.0,0.8249372700645136,0.07446192882854434,0.023389082048198714
Turbine,1.0,0.8871315212847342,0.019424088715471095,0.027240565388192608
BPsplit,,,0.0,0.0
BPmerge,,,-3.8331916465075056e-19,-6.422139267009698e-19
BPvalve,,,0.0,0.0
CAC_HT,,0.9391749411483011,0.00026398799068029537,0.00032902186551311575
CAC_LT,,0.7070394557196988,0.006236292512446414,0.0027979841997583586
LOC,,0.7058483665032603,0.023489859052378114,0.01347874173593079
JWC,,0.6417035281384703,0.015536146954127066,0.01848679231094492
Cyl,0.3801603609174943,0.37613779272656234,0.14135658959527422,0.8248708536240379
HTsplit,,,-0.0005725511508508149,0.0011476901883013856
HTmerge,,,0.00268685213503825,0.0028488814367789665
TCshaft,0.7850178987123508,0.7850178987123508,-0.0020400307089939776,-0.0023904647131702495
HRSG,,0.6360673621020483,0.059500621329225574,0.04877577578641942
AG,0.939128847737588,0.939128847737588,0.01957130001727511,0.039025076129095906

AE3
Comp,1.0,0.7649767443236356,0.05131184086543444,0.025911409848273413
Turbine,0.9999999999999999,1.0340343423366423,-0.005924993136045442,0.004096293252988311
BPsplit,,,0.0,0.0
BPmerge,,,-1.2483663395188012e-19,-9.552531341939998e-20
BPvalve,,,0.0,0.0
CAC_HT,,0.9524080376953311,0.00017059871677771484,0.0003989093339203503
CAC_LT,,0.6388571125091747,0.0036698345347006734,0.003043426083961858
LOC,,0.7093780895310375,0.015856042347915274,0.01675186743671952
JWC,,0.6598804767535794,0.010720830311595708,0.023080017281664516
Cyl,0.39324569865109976,0.39015552945454,0.07294431380317136,0.8157474227189869
HTsplit,,,-0.00010731172534719114,0.0002873783600027977
HTmerge,,,0.002282187627734208,0.004016940482054679
TCshaft,0.646354047316377,0.646354047316377,0.029552653345851342,0.024973640224032072
HRSG,,0.6597217448737138,0.03268145543300531,0.046609378650594585
AG,0.9457135577327842,0.9457135577327842,0.008983451735409634,0.03508331632680434

AE4
Comp,1.0,0.7715744102451323,0.08559572734076093,0.020961988789268887
Turbine,1.0,1.033301347604813,-0.004635358866548693,0.001279135992994011
BPsplit,,,0.0,0.0
BPmerge,,,-5.905800185481925e-19,-7.65826224042171e-19
BPvalve,,,0.0,0.0
CAC_HT,,0.9799185032153613,8.559648524189499e-05,0.00010762995002035654
CAC_LT,,0.742084181729788,0.0038247705628475827,0.0016724127793595305
LOC,,0.6582098578880831,0.030109463465664475,0.02303594861500909
JWC,,0.6688781544686996,0.014342702236751508,0.02149449033049785
Cyl,0.3798490710955496,0.37929927730329205,0.12875828969036207,0.8228584373983459
HTsplit,,,-0.00020737838082053925,0.0005868535309446426
HTmerge,,,0.0029266512668623306,0.0038952251034513642
TCshaft,0.6269472056635906,0.6269472056635906,0.05701033870808674,0.024261299839947476
HRSG,,0.658253795855616,0.05339705524830267,0.04092933247949589
AG,0.936889852865056,0.936889852865056,0.017856720810369948,0.03891724519066369

CoolingSystems
SWC13,,0.125103676261842,0.3672376011692537,0.2909119672602644
SWC24,,0.13187833112441863,0.36352853442814287,0.28384008040814646
HTcollector13,,,0.00020836911803914782,0.000297602562484027
HTcollector24,,,0.00026570861115962933,0.00041304382496546116
LTcollector13,,,0.005996082692211268,0.007887596826783704
LTcollector24,,,0.004851068097293928,0.005812598639424827
LTdistribution13,,,-0.0069161757920811195,-0.004875098126859167
LTdistribution24,,,-0.00917063440201846,-0.004996669836856823
LTHTmerge13,,,0.29550566188836536,0.2219393383268284
LTHTmerge24,,,0.2719930281801937,0.19876954011481823
HTsplit13,,,0.0,0.0
HTsplit24,,,0.0,0.0

HTHR
HTHR13,,0.9135735516389955,0.003720108422634416,0.01639321650061159
HTHR24,,0.899271060868292,0.0049830977137400485,0.026330911950465666
HTHRsplit,,,5.5832553630695845e-18,2.135180822285531e-17
HTHRmerge,,,1.1404877356461784e-18,4.933743441660605e-18
HVACpreheater,,0.4422163318986295,0.15340054742150439,0.40167384951077156
HVACreheater,,0.8375033407381745,0.007853888720809984,0.02019681078542421
SteamHeater,,0.6163726780982578,0.11571972633142988,0.4873044848641318
HotWaterHeater,,0.861915716320184,0.04478097793227251,0.04810072638859032

Steam
Boiler1,nan,nan,nan,nan
Boiler2,nan,nan,nan,nan
HotWell,,nan,0.021586450784418128,nan
SteamDistribution,,,-5.104070683942586,nan
TankHeating,,0.44646972137834157,0.4723722130322305,nan
OtherTanks,,0.44646972137834157,0.4723722130322307,nan
HFOtankHeating,,0.5524060871966691,0.3819681330841456,nan
MachinerySpaceHeaters,,0.2581894354381768,0.6330470284395442,nan
HFOheater,,0.6632994299317505,0.2873093579000056,nan
Galley,,0.6494468177291908,0.2243768397684641,nan
