VariableName,Total,Port/Stay,Low Speed Sailing,Maneuvering,High Speed Sailing,Winter,Mid-Season,Summer
ME1:CAC_HT:HTWater_out:Edot,116346798.50671291,285151.2251375937,95388495.82057485,12492434.7489141,8180716.712086376,50887924.88345197,49378126.17711188,16080747.446149066
ME1:CAC_LT:Air_in:Edot,3301541.1447767573,2551.679771344391,2514769.894158945,303738.08657448017,480481.48427198746,1368969.0401167113,1330878.0220311177,601694.0826289281
ME1:CAC_LT:LTWater_in:Edot,29607232.900557797,74659.59145742071,24605427.404059775,2980560.689546413,1946585.2154941945,14619264.585606817,11854884.550152918,3133083.7647980643
ME1:CAC_LT:Air_out:Edot,1773365.24814917,2378.89922397089,1407958.5687941718,169507.05103623122,193520.7290947963,806750.2738331638,711758.2005289469,254856.77378705965
ME1:CAC_LT:LTWater_out:Edot,31134921.16021653,74832.59560957128,25712147.496514335,3114739.368842113,2233201.6992505086,15181424.119475964,12473877.107689094,3479619.9330514693
ME1:LOC:LubOil_in:Edot,38637954.68247378,111598.797097192,31597011.46756997,4216200.295206083,2713144.1226005303,17166784.639468983,16290411.902841408,5180758.140163383
ME1:LOC:LTWater_in:Edot,31134921.16021653,74832.59560957128,25712147.496514335,3114739.368842113,2233201.6992505086,15181424.119475964,12473877.107689094,3479619.9330514693
ME1:LOC:LubOil_out:Edot,33331150.215253778,96145.25266888936,27340530.250262782,3611803.2293415074,2282671.482980601,15039010.626845501,13950286.443440147,4341853.144968134
ME1:LOC:LTWater_out:Edot,36441725.62743652,90286.14003787392,29968628.713821515,3719136.4347066884,2663674.338870438,17309198.13209945,14814002.567090357,4318524.928246718
ME1:JWC:QdotJW_in:Edot,5306804.4672199935,15453.54442830265,4256481.217307186,604397.0658645758,430472.6396199295,2127774.0126234833,2340125.459401262,838904.9951952486
ME1:JWC:HTWater_in:Edot,109699385.49868603,269697.6807092911,90268065.56725879,11760674.236124774,7400948.0145931635,48280937.14438173,46521557.54682243,14896890.807481859
ME1:JWC:HTWater_out:Edot,115006189.96590602,285151.2251375937,94524546.78456599,12365071.30198935,7831420.654213093,50408711.15700522,48861683.0062237,15735795.802677106
ME1:Cyl:Air_in:Edot,1773365.24814917,2378.89922397089,1407958.5687941718,169507.05103623122,193520.7290947963,806750.2738331638,711758.2005289469,254856.77378705965
ME1:Cyl:FuelPh_in:Edot,251171.8704017238,386.46340094019735,197476.7234816871,25125.931431516306,28182.752087580182,104406.89550417502,105173.9460077809,41591.028889767884
ME1:Cyl:FuelCh_in:Edot,57841989.85067212,87583.7409241135,45040887.61748709,5887092.798773721,6826425.693487201,22668463.61942415,24720275.277159035,10453250.954088937
ME1:Cyl:EG_out:Edot,24783272.588095672,24353.99368806141,19212764.808275636,2392964.3879362354,3153189.3981957394,9790442.0391864,10434350.397297293,4558480.151611979
ME1:Cyl:Power_out:Edot,24695344.552812465,34023.27918835196,19077607.300681934,2489734.3939954843,3093979.578946693,9613780.967318794,10508388.50426015,4573175.081233516
ME1:Cyl:QdotJW_out:Edot,5306804.4672199935,15453.54442830265,4256481.217307186,604397.0658645758,430472.6396199295,2127774.0126234833,2340125.459401262,838904.9951952486
ME1:Cyl:QdotRad_out:Edot,611794.2999999999,1767.0,496350.29999999993,68795.2,44881.79999999999,249677.09999999998,268819.6,93297.59999999999
ME1:Cyl:LubOil_in:Edot,33331150.215253778,96145.25266888936,27340530.250262782,3611803.2293415074,2282671.482980601,15039010.626845501,13950286.443440147,4341853.144968134
