VariableName,Total,Port/Stay,Low Speed Sailing,Maneuvering,High Speed Sailing,Winter,Mid-Season,Summer
ME1:JWC:HTWater_in:Bdot,12667447.643756611,29432.113809147424,10550930.632206263,1308414.578229637,778670.3195115775,6010398.459663973,5150639.778140823,1506409.4059519065
ME1:JWC:HTWater_out:Bdot,13813724.23371803,32600.46862213637,11482246.745255867,1434554.1509268924,864322.8689130982,6505354.652806177,5640253.796277959,1668115.7846339175
ME1:Cyl:Air_in:Bdot,2667051.5493169,941.9943270455792,1909577.6688248022,246356.03917861017,510175.8469864394,1003910.2000534538,1086730.444089395,576410.9051740565
ME1:Cyl:FuelPh_in:Bdot,35552.71457422781,55.75773354346891,28249.162951306433,3490.7696396945867,3757.024249683178,15731.438410334576,14493.640087519861,5327.636076373163
ME1:Cyl:FuelCh_in:Bdot,74985640.74141328,113542.4792383464,58390450.02218241,7631954.342509144,8849693.897483295,29387116.06419931,32047059.33781678,13551465.339397185
ME1:Cyl:EG_out:Bdot,13416665.672558771,9799.347425777496,10266212.692526659,1263787.9141195924,1876865.7184867715,5285522.886158864,5581754.488572039,2549388.2978279167
ME1:Cyl:Power_out:Bdot,24695344.552812427,34023.27918835193,19077607.300681937,2489734.3939954815,3093979.578946691,9613780.967318801,10508388.50426017,4573175.081233516
ME1:Cyl:QdotJW_out:Bdot,1770429.3785562504,5202.897131934579,1428275.1279267813,199480.92704178437,137470.42645575007,740616.9587792394,767304.010264289,262508.4095127248
ME1:Cyl:QdotRad_out:Bdot,149650.25711247753,438.43722028674784,122415.18577219802,16540.34277547012,10256.291344521846,65099.5164220152,63948.390813066726,20602.349877395176
ME1:Cyl:LubOil_in:Bdot,2869295.1635342194,8316.639478139165,2380153.2650294923,299783.80988884607,181041.4491377384,1425720.1598470898,1129916.048927303,313658.9547598292
ME1:Cyl:LubOil_out:Bdot,3776537.573552465,10967.625804870046,3115481.4643410067,399931.23765006557,250157.24575651187,1825474.65367992,1512936.2262902467,438126.6935822857
ME1:HTsplit:HTWater_in:Bdot,14109118.840691725,32600.46862213637,11677515.61814064,1462164.7732602002,936837.9806687294,6619928.63261076,5751897.02671627,1737293.181364719
ME1:HTsplit:HTWater_out:Bdot,10568206.600193778,17555.726993820022,8889766.90965728,1053219.976708668,607663.9868340369,4986977.295964241,4319324.417872836,1261904.886356731
ME1:HTsplit:LTWater_out:Bdot,3540912.240497933,15044.741628316355,2787748.708483393,408944.79655153403,329173.9938346921,1632951.336646504,1432572.6088434428,475388.29500798933
ME1:HTmerge:HTWater_in:Bdot,10568206.600193778,17555.726993820022,8889766.90965728,1053219.976708668,607663.9868340369,4986977.295964241,4319324.417872836,1261904.886356731
ME1:HTmerge:HTWater_out:Bdot,12667447.643756611,29432.113809147424,10550930.632206263,1308414.578229637,778670.3195115775,6010398.459663973,5150639.778140823,1506409.4059519065
ME1:HTmerge:LTWater_in:Bdot,2207569.7485081623,12379.55387486604,1743994.8133479129,268412.77555896353,182782.60572641055,1064847.167223638,879279.1586541473,263443.42263036687
ME1:TCshaft:Power_in:Bdot,5727507.477069762,2323.771929169548,4254883.937793602,520537.4957670013,949762.2715799661,2235693.7365392307,2362596.480105599,1129217.2604249094
ME1:TCshaft:Power_out:Bdot,4926962.36639334,1620.7626948302745,3631521.4644383346,445100.67797564005,848719.4612845362,1917998.986511767,2024021.1974754871,984942.1824060943
ME1:TCshaft:Losses_out:Bdot,195276.9083456539,175.29581019732277,153985.1132939499,18035.987546669778,23080.51169483709,82841.33424984351,80544.11290945901,31891.46118635106
ME2:Comp:Air_in:Bdot,42451.7921796452,45.39999097125384,36357.26314521555,3469.6137841216814,2579.515259336702,25773.755591174096,12871.038104826226,3806.998483644716
ME2:Comp:Air_out:Bdot,4352747.873949507,978.1702224443725,3271765.018758472,385736.6986508218,694267.9863177642,1681182.6422109108,1776437.4898748638,895127.741863736
ME2:Comp:Power_in:Bdot,5046302.131154252,1334.6762147436793,3806569.426821401,449881.7542502123,788516.2738679184,1938367.518632753,2073926.2433069765,1034008.3692145424
ME2:Turbine:Mix_in:Bdot,14916665.437722662,8064.309781689588,11719749.658763956,1348177.0102321403,1840674.4589448364,5975311.627011318,6195311.413120606,2746042.397590719
ME2:Turbine:Mix_out:Bdot,8004848.382290339,6244.292009373631,6485794.548514872,734714.0196721182,778095.5220939737,3320015.544180199,3346830.0315372013,1338002.806572947
ME2:Turbine:Power_out:Bdot,5913328.148698366,1903.284214663028,4496054.896957221,529298.6065754538,886071.3609510378,2283658.8161977036,2440101.3321733563,1189568.0003273094
ME2:BPsplit:Air_in:Bdot,4352747.873949507,978.1702224443725,3271765.018758472,385736.6986508218,694267.9863177642,1681182.6422109108,1776437.4898748638,895127.741863736
